date,open,high,low,close,asset
2025-03-25,5.012e-05,7.989e-05,3.955e-05,6.311e-05,dun/usd/ohlcv
2025-03-29,6.275e-05,7.766e-05,4.638e-05,5.02e-05,dun/usd/ohlcv
2025-04-02,5.023e-05,6.274e-05,4.317e-05,5.313e-05,dun/usd/ohlcv
2025-04-06,5.289e-05,5.306e-05,2.288e-05,2.561e-05,dun/usd/ohlcv
2025-04-10,2.575e-05,3.791e-05,2.404e-05,3.371e-05,dun/usd/ohlcv
2025-04-14,3.356e-05,4.807e-05,2.707e-05,4.364e-05,dun/usd/ohlcv
2025-04-18,4.362e-05,4.587e-05,2.868e-05,3.716e-05,dun/usd/ohlcv
2025-04-22,3.765e-05,4.253e-05,3.523e-05,3.87e-05,dun/usd/ohlcv
2025-04-26,3.86e-05,4.074e-05,3.256e-05,3.3e-05,dun/usd/ohlcv
2025-04-30,3.303e-05,3.315e-05,2.719e-05,2.778e-05,dun/usd/ohlcv
2025-05-04,2.764e-05,5.013e-05,2.747e-05,3.124e-05,dun/usd/ohlcv
2025-05-08,3.122e-05,3.203e-05,2.398e-05,2.432e-05,dun/usd/ohlcv
2025-05-12,2.431e-05,2.969e-05,2.425e-05,2.819e-05,dun/usd/ohlcv
2025-05-16,2.832e-05,2.934e-05,1.07e-05,1.081e-05,dun/usd/ohlcv
2025-04-06,0.00017161,0.00027416,0.00010084,0.00011429,mcp/usd/ohlcv
2025-04-10,0.00011276,0.00014526,3.36e-05,0.00012639,mcp/usd/ohlcv
2025-04-14,0.00020406,0.00024913,1.373e-05,1.565e-05,mcp/usd/ohlcv
2025-04-18,1.579e-05,1.954e-05,9.35e-06,1.292e-05,mcp/usd/ohlcv
2025-04-22,1.292e-05,1.504e-05,1.076e-05,1.119e-05,mcp/usd/ohlcv
2025-04-26,1.121e-05,1.98e-05,1.093e-05,1.187e-05,mcp/usd/ohlcv
2025-04-30,1.182e-05,1.377e-05,9.36e-06,9.51e-06,mcp/usd/ohlcv
