date,open,high,low,price,token_address,returns,log_returns,sma_10,sma_50,ema_10,ema_50,volatility_10,volatility_50,rsi_14,macd,macd_signal,macd_histogram,momentum_1,momentum_5,momentum_10,return,log_return,macd_diff,bb_high,bb_low,bb_width,price_lag_1,price_lag_2,price_lag_3,volume_sma_10,volume_sma_50,action_label
2025-03-13,136.85,139.95,113.62,126.51,sol,-0.0767041307838272,-0.0798055441481748,166.53199999999998,196.03115384615387,161.47344206589997,201.95773236455238,1.1387873915783882,,28.385938285358947,-21.099111305561763,-12.70136057196358,-1.7856044550928827e-05,-10.510000000000005,-49.52999999999999,-104.83999999999999,-0.0767041307838272,-0.07980554414817485,-8.397750733598183,261.1441833700204,120.32081662997963,73.8329161207664,137.02,145.08,148.12,,,0
2025-03-17,126.3,136.74,120.73,126.23,sol,-0.0022132637736147,-0.0022157166618079,158.43599999999998,193.44592592592593,155.06554350846363,198.98801736986405,1.1353313733728265,,28.330889323556192,-22.771113792064824,-14.715311215983828,-1.6400427744525064e-05,-0.28000000000000114,-14.540000000000006,-80.96,-0.0022132637736147487,-0.002215716661807919,-8.055802576080996,263.45913514428156,111.79886485571842,80.8298665390548,126.51,137.02,145.08,,,1
2025-03-21,125.62,135.98,122.14,127.43,sol,0.0095064564683513,0.0094615544594174,151.198,191.0882142857143,150.04089923419752,196.18182061026155,1.1729011612067581,,28.96668251776039,-23.725860882150556,-16.517421149217174,-1.4530477514206434e-05,1.2000000000000028,-20.689999999999998,-72.38,0.009506456468351354,0.009461554459417439,-7.208439732933382,264.6719597086794,104.25904029132064,86.96093275835251,126.23,126.51,137.02,,,1
2025-03-25,127.59,145.05,125.41,140.97,sol,0.1062544141881816,0.1009799075586461,145.647,189.35999999999999,148.39164482797977,194.01665117456503,1.3824420100535106,,35.87874959054925,-23.12338796546956,-17.838614512467654,0.0010935491490166,13.539999999999992,-4.110000000000014,-55.50999999999999,0.1062544141881816,0.10097990755864612,-5.2847734530019075,261.55047622550194,99.7805237744981,89.5411423049801,127.43,126.23,126.51,,,1
2025-03-29,140.16,147.16,128.13,129.56,sol,-0.0809392069234589,-0.0844030074797055,139.773,187.36666666666667,144.96770940471072,191.48893936379778,1.406131785865317,,32.967474847539464,-23.29805006248054,-18.93050162247023,-1.24670154575779e-05,-11.409999999999997,-7.460000000000008,-58.74000000000001,-0.0809392069234589,-0.08440300747970551,-4.36754844001031,260.15530619106937,93.85769380893069,93.95000318188241,140.97,127.43,126.23,,,0
2024-12-03,1.04e-06,1.93e-06,1.02e-06,1.55e-06,starlink,0.5048543689320386,0.4086961286896107,1.55e-06,1.55e-06,1.55e-06,1.55e-06,,,100.0,0.0,0.0,-5.283016790659507e-06,,,,,,0.0,1.55e-06,1.55e-06,0.0,,,,,,1
2024-12-07,1.55e-06,1.72e-06,1.42e-06,1.64e-06,starlink,0.0580645161290322,0.0564413109049518,1.595e-06,1.595e-06,1.5663636363636363e-06,1.5535294117647059e-06,,,100.0,7.179487179487268e-09,1.4358974358974538e-09,-1.1121849190903496e-05,8.999999999999999e-08,,,0.058064516129032295,0.05644131090495184,5.743589743589814e-09,1.685e-06,1.505e-06,11.28526645768025,1.55e-06,,,,,1
2024-12-11,1.64e-06,1.74e-06,1.36e-06,1.4e-06,starlink,-0.1463414634146341,-0.1582240052148941,1.53e-06,1.53e-06,1.5361157024793387e-06,1.5475086505190313e-06,,,25.827814569536415,-6.422675140624029e-09,-1.3581707940684292e-10,-1.4451830902439929e-05,-2.4000000000000003e-07,,,-0.14634146341463417,-0.15822400521489416,-6.286858061217186e-09,1.7279898987322333e-06,1.3320101012677666e-06,25.881032514017434,1.64e-06,1.55e-06,,,,1
2024-12-15,1.39e-06,1.54e-06,1.38e-06,1.41e-06,starlink,0.0071428571428571,0.0071174677688639,1.5e-06,1.5e-06,1.5131855747558225e-06,1.5421161544202458e-06,,,28.216926869350885,-1.620872624452173e-08,-3.3503989124298205e-09,-1.591693432414762e-05,1.0000000000000116e-08,,,0.0071428571428571175,0.007117467768863955,-1.285832733209191e-08,1.7004993765576343e-06,1.2995006234423658e-06,26.733250207684573,1.4e-06,1.64e-06,1.55e-06,,,1
2024-12-19,1.41e-06,1.49e-06,1.26e-06,1.26e-06,starlink,-0.1063829787234043,-0.1124779834266903,1.452e-06,1.452e-06,1.4671518338911273e-06,1.5310527758155303e-06,,,18.559847004531676,-3.565695743709628e-08,-9.811710617363113e-09,-1.2739674490431716e-06,-1.5000000000000005e-07,,,-0.1063829787234043,-0.11247798342669033,-2.5845246819733168e-08,1.7147241899787684e-06,1.1892758100212316e-06,36.18790495575322,1.41e-06,1.4e-06,1.64e-06,,,1
2024-12-23,1.26e-06,1.28e-06,9.76806e-07,1.1e-06,starlink,-0.1269841269841269,-0.1358015411590617,1.3933333333333333e-06,1.3933333333333333e-06,1.4003969550018313e-06,1.5141487453913918e-06,,,13.322293135166845,-6.325136127814947e-08,-2.0499640749520386e-08,5.3133984253660685e-06,-1.5999999999999995e-07,-4.4999999999999993e-07,,-0.12698412698412698,-0.13580154115906176,-4.275172052862909e-08,1.7487985996471541e-06,1.0378680670195124e-06,51.02372243739056,1.26e-06,1.41e-06,1.4e-06,,,1
2024-12-27,1.11e-06,1.17e-06,9.92336e-07,1e-06,starlink,-0.090909090909091,-0.095310179804325,1.3371428571428572e-06,1.3371428571428572e-06,1.3275975086378618e-06,1.49398604949369e-06,,,11.195759022505001,-9.212730319033484e-08,-3.482517323768328e-08,8.593839881022139e-06,-1.000000000000001e-07,-6.4e-07,,-0.09090909090909105,-0.09531017980432502,-5.730212995265156e-08,1.7661902119337487e-06,9.080955023519656e-07,64.17374964821026,1.1e-06,1.26e-06,1.41e-06,,,1
2024-12-31,1e-06,1.05e-06,9.26772e-07,9.33723e-07,starlink,-0.066277,-0.0685754586158264,1.286715375e-06,1.286715375e-06,1.255983961612796e-06,1.4720149495135455e-06,,,10.050677914407231,-1.1898807473759882e-07,-5.1657753537666395e-08,9.56470137424346e-06,-6.6277e-08,-4.66277e-07,,-0.06627700000000003,-0.06857545861582645,-6.733032119993242e-08,1.7686629814044074e-06,8.047677685955929e-07,74.91129985206048,1e-06,1.1e-06,1.26e-06,,,1
2025-01-04,9.28065e-07,1.05e-06,9.25335e-07,1.04e-06,starlink,0.1138206941459083,0.1077961717691076,1.2593025555555554e-06,1.2593025555555554e-06,1.2167141504104694e-06,1.455073186787524e-06,,,23.5528895255012,-1.301989119927188e-07,-6.736598522867688e-08,9.73768479250664e-06,1.0627700000000005e-07,-3.7000000000000006e-07,,0.11382069414590834,0.10779617176910769,-6.283292676404193e-08,1.739419348231033e-06,7.791857628800777e-07,76.25122184615417,9.33723e-07,1e-06,1.1e-06,,,1
2025-01-08,1.04e-06,1.09e-06,9.46085e-07,9.46289e-07,starlink,-0.0901067307692308,-0.094427972909442,1.2280012e-06,1.2280012e-06,1.1675459412449295e-06,1.4351208657370328e-06,,,20.614461964306102,-1.449741045772976e-07,-8.288760909840103e-08,7.613476703018148e-06,-9.371100000000004e-08,-3.1371100000000005e-07,,-0.09010673076923081,-0.094427972909442,-6.208649547889657e-08,1.7206804223082275e-06,7.353219776917725e-07,80.24083727413742,1.04e-06,9.33723e-07,1e-06,,,1
2025-01-12,9.44858e-07,9.5457e-07,8.70308e-07,8.95619e-07,starlink,-0.0535460097285289,-0.0550329198983596,1.1625630999999999e-06,1.1977846363636363e-06,1.1181046792003966e-06,1.4139639298257765e-06,1.3659016031692837,,19.218315059107653,-1.5894003489766798e-07,-9.809809425825442e-08,-4.625749860035001e-06,-5.066999999999991e-08,-2.04381e-07,-6.543809999999999e-07,-0.053546009728528965,-0.05503291989835961,-6.084194063941356e-08,1.704921526334111e-06,6.906477463931615e-07,84.67914424250684,9.46289e-07,1.04e-06,9.33723e-07,,,1
2025-01-16,8.96451e-07,9.38238e-07,7.93413e-07,9.19211e-07,starlink,0.0263415581848978,0.0260005940630893,1.0904841999999998e-06,1.1745701666666667e-06,1.0819421920730518e-06,1.3945618541463343e-06,1.3035809118422725,,21.87149772539756,-1.6618873774242915e-07,-1.1171622295508937e-07,-1.2247454188148032e-05,2.3591999999999964e-08,-8.078899999999994e-08,-7.20789e-07,0.026341558184897806,0.026000594063089362,-5.447251478733978e-08,1.683949805983508e-06,6.651905273498254e-07,86.73464621741903,8.95619e-07,9.46289e-07,1.04e-06,,,1
2025-01-20,9.18262e-07,9.55118e-07,7.9004e-07,8.2063e-07,starlink,-0.1072452353159394,-0.1134433554352232,1.0325472e-06,1.147344e-06,1.034430884423406e-06,1.372054722611184e-06,1.2240329551492115,,19.055186813380942,-1.7783804352972155e-07,-1.2494058707001581e-07,-6.767471294965827e-06,-9.8581e-08,-1.1309299999999994e-07,-5.793699999999999e-07,-0.10724523531593944,-0.1134433554352232,-5.289745645970573e-08,1.6718335125340007e-06,6.228544874659993e-07,91.4267233774702,9.19211e-07,8.95619e-07,9.46289e-07,,,1
